Place ID,displayName,formattedAddress,rating,priceLevel,reservable,outdoorSeating,servesDessert,goodForChildren
ChIJUbWxchMxMTARoEjJuC4aTIY,RANAK SMOKE BBQ,"Jalan Veteran Gg. Mangga No.05/145, Tegal Rejo, Kec. Medan Deli, Kota Medan, Sumatera Utara 20241, Indonesia",5,unknown,True,unknown,unknown,True
ChIJA0T-6vYvMTARfpdyi4QNlYs,Medan Barbeque & Steamboat Suki,"Jl. K.H. Wahid Hasyim No.86, Babura, Kec. Medan Baru, Kota Medan, Sumatera Utara 20153, Indonesia",4.3,unknown,True,True,True,True
ChIJ8U0rEmIsDogROcBPM_7xIL4,DaeBak Korean BBQ Restaurant,"T1&T2 Jati Junction, Jl. Timor, Perintis, Kec. Medan Tim., Kota Medan, Sumatera Utara 20236, Indonesia",4.3,PRICE_LEVEL_MODERATE,True,False,True,True
ChIJlzh8-lx9bIcRwMgyO9sRsWM,Angry Korean Bbq,"Jl. Airlangga No.11E, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20112, Indonesia",4.4,PRICE_LEVEL_MODERATE,True,False,False,True
ChIJsU2nQ7QxMTAR0vFGTaSNfX0,Omma Recipe,"Jl. Semarang No.92, Ps. Baru, Kec. Medan Kota, Kota Medan, Sumatera Utara 20212, Indonesia",4.4,PRICE_LEVEL_MODERATE,True,True,unknown,True
ChIJU7e0LywxMTAR8IhHGef7JDA,Big Big Bite,"Jl. Listrik No.16, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20231, Indonesia",5,unknown,True,unknown,unknown,True
ChIJR8wIG5hOh4gRq3XAfiz0_sk,JOM BARBEQUE,"HP35+5W9, Gg. Adil, Binjai, Kec. Medan Denai, Kota Medan, Sumatera Utara, Indonesia",5,unknown,unknown,unknown,unknown,True
ChIJ_4YeolglMTARIyimqIrQdXk,BPK SAUDARANTA,"Jl. Pintu Air IV No.377, Kwala Bekala, Kec. Medan Johor, Kota Medan, Sumatera Utara 20146, Indonesia",unknown,unknown,unknown,unknown,unknown,unknown
ChIJ-QZ7sL72aS4RHxryJz8lMkg,Cafe Sahabat,"Gg. Sahabat No.61, Titi Kuning, Kec. Medan Johor, Kota Medan, Sumatera Utara 20219, Indonesia",3,unknown,unknown,unknown,unknown,unknown
ChIJwTkonu6wD4gRJ1K6oDZacGE,"Chung Gi Wa, Korean BBQ","Jl. Imam Bonjol No.24 C/D, Madras Hulu, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20236, Indonesia",4.5,unknown,True,False,True,True
ChIJWVFojvrtaS4RNc7wAFztBlM,Manggang Grilled Beef BBQ,"Jl. S. Parman No.62C, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20111, Indonesia",5,unknown,unknown,unknown,True,True
ChIJARmy6dU9TIYRlArBW4puH1w,Raa cha Suki & BBQ,"Jl. KH. Zainul Arifin No.7, Madras Hulu, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20151, Indonesia",4.3,unknown,unknown,unknown,unknown,True
ChIJN_bcAscxMTARbrCxx05ugnI,D'Maung Steak & Grill 1,"Jl. Gatot Subroto No.75, RT.02, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20231, Indonesia",4,unknown,True,unknown,unknown,True
ChIJY4TiZwA7MTARApXx4t48XGw,BPK Marima Pork Grill,"Titi Kuning, Medan Johor, Medan City, North Sumatra 20219, Indonesia",4.9,unknown,unknown,unknown,unknown,True
ChIJHZ322Z4xMTARgyPzSIdr9Jw,Galmaegi Korean BBQ Restaurant,"Jl. KH. Zainul Arifin No.122, Madras Hulu, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20151, Indonesia",4.4,unknown,True,unknown,unknown,True
ChIJbxebWXExMTARbCL5ru4KWpY,Meatsuka,"Jl. Jenderal Sudirman No.40, Anggrung, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20151, Indonesia",4.6,PRICE_LEVEL_MODERATE,True,True,True,True
ChIJ26bEJwwvMTARSmC6UDySsMU,InQ Indonesian BBQ,"Jl. Darussalam No.17, Sei Sikambing D, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20112, Indonesia",3,unknown,unknown,unknown,unknown,True
ChIJ3bQzKIwxMTAR0SOt8P2Flp8,Meatme Medan,"Jl. Gajah Mada No.3, Petisah Hulu, Kec. Medan Baru, Kota Medan, Sumatera Utara 20233, Indonesia",3.2,unknown,unknown,True,unknown,True
ChIJu-aHgN8xMTARSsNj___fiU8,OnDo Grill Batak,"Jl. Pabrik Tenun No.45, Sei Putih Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20118, Indonesia",4.5,PRICE_LEVEL_EXPENSIVE,True,True,True,True
ChIJQRIJQLSp1TER6FvanM-Iz_I,Gapyeong Korean BBQ,"Jl. Setia Budi Kel No.10 C, Tj. Rejo, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20119, Indonesia",4.5,PRICE_LEVEL_MODERATE,True,False,True,True
ChIJd87vkccxMTARKHhqGU8EjEQ,Healy Mac's Bar And Restaurant Medan,"15-16, Centre Point, Ruko Jl. Timor Dalam No.23 Blok M, Gg. Buntu, Kec. Medan Tim., Kota Medan, Sumatera Utara 20231, Indonesia",4.5,PRICE_LEVEL_EXPENSIVE,True,True,unknown,False
ChIJ33C_ALYxMTARkBdDFM-kUFc,HW Helen's Live Bar Medan,"Jl. A. Rivai, Madras Hulu, Kec. Medan Polonia, Kota Medan, Sumatera Utara, Indonesia",4.7,unknown,True,unknown,unknown,False
ChIJyd17XeEvMTARVnGS9L63DpM,High5 Bar & Lounge,"Jl. Abdullah Lubis No.81, Babura, Kec. Medan Baru, Kota Medan, Sumatera Utara 20222, Indonesia",4.5,unknown,True,unknown,unknown,False
ChIJ6QN0y0zyAogRDvfw9lrA5w4,Shoot. Resto.Bar.Club,"Jl. Kapten Patimura No.423, Darat, Kec. Medan Baru, Kota Medan, Sumatera Utara 20222, Indonesia",4.4,PRICE_LEVEL_MODERATE,True,False,unknown,False
ChIJJUWbPsM5DogR6KwNvMUoTVI,The View Restaurant,"Cambridge Hotel Medan, Jl. S. Parman No.217, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20152, Indonesia",4.6,unknown,True,unknown,True,False
ChIJj5n5klExMTAR8QjEk1--4eY,HW Dragon Bar Medan,"Jl. Putri Merak Jingga No.8, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20111, Indonesia",4.7,unknown,True,unknown,unknown,False
ChIJG0YN9rIxMTARLWXPEo0YJEs,HW Tiger Club Medan,"depan swalayan maju bersama, Jl. Putri Merak Jingga No.8-9, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20111, Indonesia",4.7,unknown,unknown,unknown,unknown,False
ChIJAQCQBKssDogRIQIuX0PP9ME,SKY the Oasis Rooftop Bar & Lounge,"Jl. Dr. Mansyur No.98, Padang Bulan Selayang I, Kec. Medan Selayang, Kota Medan, Sumatera Utara 20153, Indonesia",4.8,unknown,True,unknown,True,False
ChIJkSrjOSdV-YcR15MKRPM8oPI,Retrospective Reserve,"Jl. Putri Hijau No.1A, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20111, Indonesia",4.5,PRICE_LEVEL_EXPENSIVE,True,unknown,unknown,False
ChIJ7bwy34AvMTARYOf7KYGxdj0,Hive Billiar Medan,"Jl. Sei Batang Hari No.6, Babura Sunggal, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20112, Indonesia",4.6,unknown,True,unknown,unknown,False
ChIJL3SMVPCKtocRs5OHS7matSo,The Cube Club,"Hotel Danau Toba Internasional, Jl. Imam Bonjol No.17, Hamdan, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20151, Indonesia",4.4,unknown,True,False,unknown,False
ChIJ7XHgXhHQD4gRUZtaG_7Mghw,The Lavish Room,"YAFURNI PLAZA, Jl. Iskandar Muda No.7, Petisah Hulu, Kec. Medan Baru, Kota Medan, Sumatera Utara 20153, Indonesia",4.9,unknown,True,unknown,unknown,False
ChIJfT2sZGsvMTARN1r8oHHJHjI,Cello Skypool & Lounge Bar,"Jl. Danau Marsabut No.90, Sei Agul, Kec. Medan Bar., Kota Medan, Sumatera Utara 20114, Indonesia",4.2,unknown,True,True,unknown,False
ChIJI2PRAScvMTARm53pBkRMHI4,H7 Club & KTV,"Jl. Abdullah Lubis No.50, Merdeka, Kec. Medan Baru, Kota Medan, Sumatera Utara 20153, Indonesia",4.5,unknown,True,unknown,unknown,False
ChIJZSVy8AM64ocRlY6b_t3tFqU,The palace Pub & Bar,"Jl. Ir. H. Juanda Blk. F No.1, Sukaraja, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20212, Indonesia",4.2,unknown,unknown,unknown,unknown,False
ChIJEUtez8XxwIcRGKTYcCwBP9Y,Prime Bar,"JW Marriott Medan, Jl. Putri Hijau No.10, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20111, Indonesia",4.1,unknown,True,unknown,unknown,False
ChIJQZMVWMsxMTARXyEFn-nb9iQ,Harbour 9,"Gedung Forum Nine CIMB Niaga Lanta Dasar, Jl. Imam Bonjol No.9, Petisah Tengah, Medan Petisah, Medan City, North Sumatra 20112, Indonesia",4.4,PRICE_LEVEL_MODERATE,True,True,unknown,False
ChIJY8MY4uAh9ocRt8rGjiANHso,Level 02,"Jl. Iskandar Muda, Babura, Kec. Medan Baru, Kota Medan, Sumatera Utara 20111, Indonesia",4.3,PRICE_LEVEL_MODERATE,True,True,unknown,False
ChIJNZW-Up2tLogRkhvD8jDKXTE,Bru garden,"Jl. Cut Mutia No.26, Madras Hulu, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20151, Indonesia",4.8,unknown,True,unknown,unknown,False
ChIJoXEOwz4xMTAR72J5i_F-9-0,Amergency Cocktail,"Jl. Dazam Raya No.52, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20111, Indonesia",4.9,unknown,True,unknown,unknown,False
ChIJI0AnbNQvMTAR5F1rrXlQxCA,Pondok Sarapan Murah Rezeki Dan Rumah Makan Ragam Rasa,"HMG4+V5H, Jl. Abdullah Lubis, Babura, Kec. Medan Baru, Kota Medan, Sumatera Utara 20153, Indonesia",5,unknown,unknown,unknown,unknown,True
ChIJT0AjnrExMTARBA1j-UIC7l4,Takasi Enak,"Jl. Kalianda, Sei Rengas I, Kec. Medan Kota, Kota Medan, Sumatera Utara 20211, Indonesia",5,unknown,unknown,unknown,unknown,True
ChIJMxCa0c4vMTARzZH8OIWV5Ms,Waroeng Kakak Adek Sarapan Pagi & Ice Blend,"Jl. Setia Budi No.40, Tj. Rejo, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20119, Indonesia",5,unknown,unknown,unknown,unknown,True
ChIJb3369L-MaS4R5OMOYvYiPz0,Sarapan Pagi Enak,"JM46+45P, Sei Agul, Medan Barat, Medan City, North Sumatra 20114, Indonesia",unknown,unknown,unknown,unknown,unknown,True
ChIJlUFgLcUxMTARfhBA-QwuVb0,Rumah Makan Sinar Pagi,"No.2D/1, Jl. Sei Deli No.2D/1, Silalas, Kec. Medan Bar., Kota Medan, Sumatera Utara 20236, Indonesia",4.3,PRICE_LEVEL_MODERATE,False,False,True,True
ChIJe6d432YruIcR-TNxJAD3s88,Brunch Dinner & Supper Place,"Jl. Darussalam No.31 A, RW.02, Sei Sikambing D, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20112, Indonesia",3.9,unknown,unknown,unknown,unknown,True
ChIJTVMBlCwxMTARAnFT6j7uXkQ,Warung Pagi Enak,"HMXH+J2C, Jl. Gaharu, Gaharu, Kec. Medan Tim., Kota Medan, Sumatera Utara, Indonesia",4.5,unknown,unknown,unknown,unknown,True
