id,displayName,formattedAddress,rating,servesBeer,servesWine,servesCocktails,goodForChildren,goodForGroups,reservable,outdoorSeating,liveMusic,servesDessert,priceLevel,paymentOptions,acceptsCreditCards,acceptsDebitCards,acceptsCashOnly,acceptsNfc,Type
ChIJhQ2OKQAxMTARVxVY2RSXE6M,What's Up Burger & Coffee Street,"Jl. Halat No.92, Ps. Merah Tim., Kec. Medan Area, Kota Medan, Sumatera Utara 20216, Indonesia",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,american_restaurant
ChIJQTHP3KMvMTARsl6uQIv1Kpk,Kenyangin.mdn,"JJ5W+PM2, Gg. Rukun, Helvetia Tim., Kec. Medan Helvetia, Kota Medan, Sumatera Utara, Indonesia",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,american_restaurant
ChIJz-3odzouMTART49Bvu9eCQE,BurgerQu,"HJRW+867, Jl. Gatot Subroto, Sei Sikambing C. II, Kec. Medan Helvetia, Kota Medan, Sumatera Utara 20123, Indonesia",unknown,False,False,False,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{'acceptsCashOnly': True},unknown,unknown,True,unknown,american_restaurant
ChIJC2RdR54vMTARuSpKZWSEEkU,21 Burger,"HJPX+33G, Babura Sunggal, Medan Sunggal, Medan City, North Sumatra, Indonesia","4,7",unknown,unknown,unknown,unknown,unknown,unknown,True,False,unknown,unknown,{'acceptsCashOnly': True},unknown,unknown,True,unknown,american_restaurant
ChIJvZHY_LgzMTARZ8dcx-uwdm0,Burger Tasty,"Jl. Bilal No.10, Pulo Brayan Darat I, Kec. Medan Tim., Kota Medan, Sumatera Utara 20239, Indonesia",5,False,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,american_restaurant
ChIJlXQ_nqgvMTARVmCnZvyZAvU,BALSKE BURGER,"Jl. Sei Belutu No.74, Padang Bulan Selayang I, Kec. Medan Selayang, Kota Medan, Sumatera Utara 20154, Indonesia","4,6",unknown,unknown,unknown,True,True,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,american_restaurant
ChIJM83bXaczMTAR5MKWF_SAyds,JAJANLA_SKUY,"Jl. Karya No.322, Karang Berombak, Kec. Medan Bar., Kota Medan, Sumatera Utara 20117, Indonesia",5,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{'acceptsCashOnly': True},unknown,unknown,True,unknown,american_restaurant
ChIJf9pGfYgvMTARZ9ne4mDmSik,Friends Burger & Kebab,"Jl. Ayahanda No.13, Sei Putih Bar., Kec. Medan Petisah, Kota Medan, Sumatera Utara 20113, Indonesia","4,5",False,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,american_restaurant
ChIJE39jkdwxMTAR0V_6GJYQEmA,Burger King,"HMM8+Q5W, Jl. Gajah Mada, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20152, Indonesia","4,6",False,False,False,True,True,True,True,False,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False}",True,True,False,unknown,american_restaurant
ChIJcSrcpZQxMTARmIdr_dC7LIM,Hutabarat Burger,"JM4M+24P, Sidorame Barat I, Medan Perjuangan, Medan City, North Sumatra 20233, Indonesia","4,3",False,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,american_restaurant
ChIJ0VcHjdMvMTARHklG1gfrfNU,SCOOT street food,"Jl. Abdullah Lubis No.79 / 99, Merdeka, Kec. Medan Baru, Kota Medan, Sumatera Utara 20154, Indonesia",5,False,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,american_restaurant
ChIJYZeG2qMvMTAR9kC4rBe1Drs,Burger & Dismum Alesha,"Jl. Mistar No.80, Sei Putih Bar., Kec. Medan Petisah, Kota Medan, Sumatera Utara 20118, Indonesia","4,7",False,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,{'acceptsCashOnly': True},unknown,unknown,True,unknown,american_restaurant
ChIJ22VAfmgxMTARMtKMyjSO-3U,burger & ayam penyet arasya,"Jl. Medan Area Selatan No.128, Sukaramai I, Kec. Medan Area, Kota Medan, Sumatera Utara 20216, Indonesia",unknown,unknown,unknown,unknown,True,unknown,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,american_restaurant
ChIJ3wKBv-QvMTAREzqvIh2GwYQ,Burger & roti bakar nanda,"HMM4+5Q3, Jl. Sei Tuntung Baru, Babura, Kec. Medan Baru, Kota Medan, Sumatera Utara, Indonesia",5,False,False,False,True,unknown,unknown,unknown,False,unknown,unknown,{},unknown,unknown,unknown,unknown,american_restaurant
ChIJNRdEdAQxMTARC_t7bgCTUoA,Burger Ajo,"Jl. Williem Iskandar No.93, Sidorejo, Kec. Medan Tembung, Kota Medan, Sumatera Utara 20222, Indonesia","4,2",False,False,False,True,unknown,unknown,True,False,unknown,unknown,{'acceptsCashOnly': True},unknown,unknown,True,unknown,american_restaurant
ChIJqTFey8oxMTARNwwHwy_cihc,Bagus Burger,"Jl. Badur, Hamdan, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20212, Indonesia","3,7",False,False,False,True,unknown,unknown,unknown,False,unknown,unknown,{'acceptsCashOnly': True},unknown,unknown,True,unknown,american_restaurant
ChIJvRIq3aIxMTARhsi-I7GAbic,Jack Erlin Burger,"Jl. Prof. H. M. Yamin No.292, Sei Kera Hilir II, Kec. Medan Perjuangan, Kota Medan, Sumatera Utara 20222, Indonesia",5,False,False,False,True,True,unknown,unknown,unknown,unknown,unknown,{'acceptsCashOnly': True},unknown,unknown,True,unknown,american_restaurant
ChIJSyc8H6YxMTAR7XudEFmycGg,Burger Corner2020,"Jl. M.H Thamrin No.75P, Pandau Hulu I, Kec. Medan Kota, Kota Medan, Sumatera Utara 20211, Indonesia",5,False,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,american_restaurant
ChIJ-UaoXdAvMTARKdzUUPBGxa8,SorryMama Burger,"Jl. Mayjen D.I Panjaitan, Babura, Kec. Medan Baru, Kota Medan, Sumatera Utara 25124, Indonesia",5,False,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,american_restaurant
ChIJJdkmy4AzMTARoO1aj3PmEv4,De' Burger,"Jl. Gunung Krakatau No.A, Pulo Brayan Darat II, Kec. Medan Tim., Kota Medan, Sumatera Utara 20235, Indonesia","4,5",False,False,False,True,unknown,unknown,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,american_restaurant
ChIJUbWxchMxMTARoEjJuC4aTIY,RANAK SMOKE BBQ,"Jalan Veteran Gg. Mangga No.05/145, Tegal Rejo, Kec. Medan Deli, Kota Medan, Sumatera Utara 20241, Indonesia","4,2",unknown,unknown,unknown,True,True,True,unknown,unknown,unknown,unknown,{},unknown,unknown,unknown,unknown,barbecue_restaurant
ChIJU0u4wsAxMTARa3xqiqdnL1s,DaeBak Korean BBQ Restaurant,"T1&T2 Jati Junction, Jl. Timor, Perintis, Kec. Medan Tim., Kota Medan, Sumatera Utara 20236, Indonesia","4,3",True,True,False,True,True,True,False,False,True,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False}",True,True,False,unknown,barbecue_restaurant
ChIJtdyhwtExMTARw5PY3hGJVBo,Angry Korean Bbq,"Jl. Airlangga No.11E, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20112, Indonesia","4,4",False,False,False,True,True,True,False,False,False,PRICE_LEVEL_MODERATE,"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False}",True,True,False,unknown,barbecue_restaurant
